iter	Logloss
0	0.6196095097
1	0.564226766
2	0.5203425424
3	0.4914651466
4	0.4609231325
5	0.4393417996
6	0.4215185168
7	0.4069777303
8	0.3958112521
9	0.386924312
10	0.3817003005
11	0.3755892175
12	0.3699928402
13	0.3645600023
14	0.360254262
15	0.3557843827
16	0.3538415151
17	0.3512731422
18	0.3485538082
19	0.3464084448
20	0.3438089655
21	0.3418175098
22	0.3406242251
23	0.3393086166
24	0.3378501143
25	0.3365574616
26	0.3352287056
27	0.3343102281
28	0.3331160412
29	0.3318670135
30	0.3308565022
31	0.3297168718
32	0.328742323
33	0.3279539997
34	0.3269327359
35	0.3265287097
36	0.3255453131
37	0.3246666814
38	0.3238676189
39	0.3231271208
40	0.3226828917
41	0.3219366634
42	0.3213153662
43	0.3205716536
44	0.3197754874
45	0.3191673177
46	0.3187920804
47	0.3181224269
48	0.3176154452
49	0.3167515499
50	0.3159430015
51	0.315443537
52	0.3147752265
53	0.3141570413
54	0.3137339871
55	0.3133217355
56	0.312830154
57	0.3122567372
58	0.3118834149
59	0.3111949694
60	0.310654726
61	0.3100066985
62	0.3095390023
63	0.3088280091
64	0.308323628
65	0.3079843613
66	0.3074475815
67	0.3070928407
68	0.3065842083
69	0.3061416433
70	0.3058737286
71	0.3053424573
72	0.3050359903
73	0.3046188145
74	0.3039620851
75	0.303299909
76	0.3027367584
77	0.3020322146
78	0.3017680853
79	0.3013993331
80	0.3008893885
81	0.3006350572
82	0.3002335181
83	0.2997082056
84	0.2993727824
85	0.2990235133
86	0.2984564284
87	0.2981428467
88	0.297659101
89	0.2970039786
90	0.2964520979
91	0.2962891795
92	0.2956519065
93	0.2950575822
94	0.2949443716
95	0.2942279847
96	0.2941611823
97	0.2936871041
98	0.2933574841
99	0.2925990333
100	0.2918118598
101	0.2911451414
102	0.2905539726
103	0.2901377401
104	0.2895967108
105	0.2895651872
106	0.2890544246
107	0.2883781829
108	0.288059548
109	0.2880188212
110	0.2873953675
111	0.2872081219
112	0.2866845394
113	0.2864249884
114	0.2857151916
115	0.285166194
116	0.2849052836
117	0.2843533494
118	0.284071735
119	0.2836488508
120	0.2831382898
121	0.2825508317
122	0.282119674
123	0.2814663458
124	0.2809985956
125	0.2805815542
126	0.2804011586
127	0.2796484726
128	0.2791120193
129	0.2786684796
130	0.2781902794
131	0.2777113601
132	0.2772202807
133	0.2767074766
134	0.2763023176
135	0.2757791482
136	0.2751114585
137	0.274566621
138	0.2742275365
139	0.2737728137
140	0.273418624
141	0.273164579
142	0.2726770634
143	0.2722287109
144	0.2716780746
145	0.2710198357
146	0.2705772306
147	0.2702150988
148	0.2697881238
149	0.2693917353
150	0.2688649471
151	0.2683334342
152	0.2681846003
153	0.2679457518
154	0.2675397149
155	0.2671109507
156	0.2664715735
157	0.2661517235
158	0.2657960551
159	0.2652541026
160	0.2651328937
161	0.2646809923
162	0.2644325568
163	0.2642526976
164	0.2636788445
165	0.2632179726
166	0.2625775399
167	0.2620972009
168	0.2617276855
169	0.2616603466
170	0.2612947548
171	0.2612616231
172	0.2607730156
173	0.2603964259
174	0.2601027289
175	0.2599129384
176	0.2593735168
177	0.2589980752
178	0.2588821222
179	0.258378067
180	0.2582250088
181	0.25808754
182	0.2578130298
183	0.2577287339
184	0.2571671279
185	0.2568242855
186	0.2563876763
187	0.2559190472
188	0.2554750317
189	0.2554608185
190	0.2551557499
191	0.2547347835
192	0.2545059898
193	0.2544957409
194	0.2544178311
195	0.2539892346
196	0.2535267509
197	0.253011324
198	0.2526437737
199	0.2521200683
