iter	Passed	Remaining
0	35	3494
1	157	7711
2	1240	40102
3	1261	30266
4	1295	24616
5	1337	20955
6	1357	18037
7	1398	16086
8	2108	21318
9	2152	19371
10	2206	17849
11	2292	16808
12	2317	15507
13	2349	14434
14	2377	13471
15	2399	12595
16	2423	11833
17	2446	11145
18	2524	10760
19	2560	10241
20	2594	9760
21	2620	9290
22	2639	8836
23	2880	9120
24	2918	8754
25	2942	8375
26	2965	8018
27	3075	7909
28	3237	7925
29	3301	7704
30	3348	7452
31	3382	7186
32	3402	6907
33	3571	6933
34	3879	7204
35	3907	6946
36	3932	6695
37	3955	6453
38	3992	6244
39	4023	6035
40	4076	5866
41	4125	5696
42	6754	8953
43	6821	8682
44	6852	8375
45	6900	8100
46	6989	7881
47	7053	7641
48	7089	7378
49	7158	7158
50	9187	8826
51	9223	8513
52	9251	8203
53	9275	7901
54	9330	7634
55	9374	7365
56	9416	7103
57	9469	6857
58	9520	6616
59	9559	6373
60	9579	6124
61	9605	5887
62	9644	5664
63	9674	5441
64	9698	5222
65	9717	5005
66	9735	4795
67	9759	4592
68	9823	4413
69	9873	4231
70	10607	4332
71	10800	4200
72	10822	4002
73	11052	3883
74	11084	3694
75	11106	3507
76	11371	3396
77	11472	3235
78	11524	3063
79	11560	2890
80	11588	2718
81	11609	2548
82	11629	2381
83	11652	2219
84	12087	2133
85	12134	1975
86	12162	1817
87	12199	1663
88	12230	1511
89	12244	1360
90	12267	1213
91	12302	1069
92	12319	927
93	12345	788
94	12368	650
95	12391	516
96	13956	431
97	13984	285
98	14025	141
99	14097	0
